Date,Open,Close,Weekly Returns
1999-03-08,51.125,50.0625,-2.078
1999-03-15,50.4375,51.21875,1.549
1999-03-22,51.4375,51.75,0.608
1999-03-29,52.375,53.5625,2.267
1999-04-05,54.429688,55.8125,2.541
1999-04-12,54.5,51.96875,-4.644
1999-04-19,52.3125,55.3125,5.735
1999-04-26,55.6875,53.71875,-3.535
1999-05-03,53.5625,52.96875,-1.109
1999-05-10,53.3125,53.40625,0.176
1999-05-17,52.9375,52.875,-0.118
1999-05-24,52.96875,52.03125,-1.77
1999-05-31,51.9375,52.5625,1.203
1999-06-07,52.929688,51.78125,-2.17
1999-06-14,51.96875,55.0625,5.953
1999-06-21,55.4375,54.6875,-1.353
1999-06-28,55.15625,58.75,6.516
1999-07-05,59.0625,59.84375,1.323
1999-07-12,60.0625,61.375,2.185
1999-07-19,61.625,57.28125,-7.049
1999-07-26,56.5,56.59375,0.166
1999-08-02,56.6875,55.328125,-2.398
1999-08-09,55.53125,57.65625,3.827
1999-08-16,57.625,57.96875,0.597
1999-08-23,58.5,59.875,2.35
1999-08-30,60.125,62.65625,4.21
1999-09-06,62.53125,63.125,0.95
1999-09-13,63.0625,63.3125,0.396
1999-09-20,63.5,60.078125,-5.389
1999-09-27,60.9375,60.210938,-1.192
1999-10-04,60.53125,63.757813,5.33
1999-10-11,63.9375,59.875,-6.354
1999-10-18,59.9375,61.96875,3.389
1999-10-25,61.6875,65.75,6.586
1999-11-01,65.75,68.1875,3.707
1999-11-08,68.4375,72.1875,5.479
1999-11-15,72.25,75.78125,4.888
1999-11-22,75.9375,77.6875,2.305
1999-11-29,77.53125,79.125,2.056
1999-12-06,79.429688,79.90625,0.6
1999-12-13,79.632813,83.78125,5.209
1999-12-20,84.40625,90.21875,6.886
1999-12-27,90.3125,91.375,1.176
2000-01-03,96.1875,90.0,-6.433
2000-01-10,91.0,93.375,2.61
2000-01-17,92.0625,96.25,4.549
2000-01-24,97.4375,86.0,-11.738
2000-01-31,85.875,97.15625,13.137
2000-02-07,97.25,99.875,2.699
2000-02-14,99.992188,98.4375,-1.555
2000-02-21,99.0,104.0625,5.114
2000-02-28,103.25,111.0625,7.567
2000-03-06,111.75,114.5,2.461
2000-03-13,110.0,110.8125,0.739
2000-03-20,111.0,117.5625,5.912
2000-03-27,118.0,109.5,-7.203
